,SchoolName,Address,SchoolManagement,E-Mail,Telephone#
0,Acacia Hill School,"{'description': '80 Spearwood Rd', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '80 Spearwood Rd, Alice Springs, 0870, NT'}","[{'firstName': 'Janet', 'lastName': 'Dales', 'position': 'Administration Manager', 'email': 'janet.dales@ntschools.net', 'phone': '(08) 895 52222'}, {'firstName': 'Julie', 'lastName': 'Permezel', 'position': 'Principal', 'email': 'julie.permezel@ntschools.net', 'phone': '(08) 895 52222'}]",acaciahill.school@ntschools.net,(08) 895 52222
1,Adelaide River School,"{'description': '31 Memorial Tce', 'state': 'NT', 'postCode': 'Adelaide River, 0846', 'displayAddress': '31 Memorial Tce, Adelaide River, 0846, NT'}","[{'firstName': 'Tony', 'lastName': 'Clegg', 'position': 'Principal', 'email': 'tony.clegg@ntschools.net', 'phone': '(08) 8976 7034'}, {'firstName': 'Tricia', 'lastName': 'Forscutt', 'position': 'Administration Manager', 'email': 'tricia.forscutt@ntschools.net', 'phone': '(08) 8976 7034'}]",adelaideriver.ps@ntschools.net,(08) 8976 7034
2,Alawa Primary School,"{'description': '27 Pett Street', 'state': 'NT', 'postCode': 'Alawa, 0810', 'displayAddress': '27 Pett Street, Alawa, 0810, NT'}","[{'firstName': 'Sandy', 'lastName': 'Cartwright', 'position': 'Principal', 'email': 'sandy.cartwright@ntschools.net', 'phone': '(08) 899 77666'}, {'firstName': 'Kylie', 'lastName': 'Davis', 'position': 'Administration Manager', 'email': 'kylie.davis@ntschools.net', 'phone': '(08) 899 77666'}]",alawa.school@ntschools.net,(08) 899 77666
3,Alawa Primary School,"{'description': '27 Pett Street', 'state': 'NT', 'postCode': 'Alawa, 0810', 'displayAddress': '27 Pett Street, Alawa, 0810, NT'}","[{'firstName': 'Sandy', 'lastName': 'Cartwright', 'position': 'Principal', 'email': 'sandy.cartwright@ntschools.net', 'phone': '(08) 899 77666'}, {'firstName': 'Kylie', 'lastName': 'Davis', 'position': 'Administration Manager', 'email': 'kylie.davis@ntschools.net', 'phone': '(08) 899 77666'}]",alawa.school@ntschools.net,(08) 899 77666
4,Alcoota School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Engawala (Alcoota Stn)', 'displayAddress': 'N/A, Engawala (Alcoota Stn), NT'}","[{'firstName': 'Gary', 'lastName': 'Schmull', 'position': 'Administration Manager', 'email': 'gary.schmull@ntschools.net', 'phone': '(08) 895 11641'}, {'firstName': 'Suzanne', 'lastName': 'Stone', 'position': 'Principal', 'email': 'suzanne.stone@ntschools.net', 'phone': '(08) 8956 9977'}]",suzanne.stone@ntschools.net,(08) 8956 9977
5,Alekarenge School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Ali Curung (Warrabri)', 'displayAddress': 'N/A, Ali Curung (Warrabri), NT'}","[{'firstName': 'Colin', 'lastName': 'Kiel', 'position': 'Principal', 'email': 'colin.kiel@ntschools.net', 'phone': '(08) 8964 1957'}, {'firstName': 'Rowena', 'lastName': 'Verdillo', 'position': 'Administration Manager', 'email': 'rowena.verdillo@nt.gov.au', 'phone': '(08) 896 32013'}]",admin.alekacec@ntschools.net,(08) 8964 1957
6,Alice Springs Language Centre,"{'description': 'Milner Road', 'state': 'NT', 'postCode': 'Alice SPrings, 0870', 'displayAddress': 'Milner Road, Alice SPrings, 0870, NT'}","[{'firstName': 'Susan', 'lastName': 'Moore', 'position': 'Principal', 'email': 'susan.moore@ntschools.net', 'phone': '(08) 895 52366'}, {'firstName': 'Carol', 'lastName': 'Watson', 'position': 'Administration Manager', 'email': 'carol.watson@ntschools.net', 'phone': '895 52366'}]",alice.language@ntschools.net,(08) 895 52366
7,Alice Springs School Of The Air,"{'description': '80 Head St', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '80 Head St, Alice Springs, 0870, NT'}","[{'firstName': 'Kerrie', 'lastName': 'Russell', 'position': 'Principal', 'email': 'kerrie.russell@ntschools.net', 'phone': '(08) 8951 6800'}, {'firstName': 'Shirley', 'lastName': 'Young', 'position': 'Administration Manager', 'email': 'shirley.young@ntschools.net', 'phone': '(08) 8951 6826'}]",assoa@assoa.nt.edu.au,(08) 8951 6800
8,Alice Springs Steiner School,"{'description': 'Lot 9523 Ragonesi Rd', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': 'Lot 9523 Ragonesi Rd, Alice Springs, 0870, NT'}","[{'firstName': 'Grenville', 'lastName': 'Hawkins', 'position': 'Business Manager', 'email': 'businessmanager@alicesteiner.nt.edu.au', 'phone': '(08) 8953 4578'}, {'firstName': 'Bruce', 'lastName': 'Thurgood', 'position': 'Principal', 'email': 'schoolmanager@alicesteiner.nt.edu.au', 'phone': '8953 4578'}]",accounts@alicesteiner.nt.edu.au,(08) 8953 4578
9,Alpurrurulam School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Alpurrurulam (Lake Nash)', 'displayAddress': 'N/A, Alpurrurulam (Lake Nash), NT'}","[{'firstName': 'Daven', 'lastName': 'Scott', 'position': 'Principal', 'email': 'daven.scott@ntschools.net', 'phone': '(07) 4748 4887'}, {'firstName': 'Heather', 'lastName': 'Watson', 'position': 'Administration Manager', 'email': 'heather.watson@nt.gov.au', 'phone': '(08) 8963 2051'}]",daven.scott@ntschools.net,(07) 4748 4887
10,Alyangula Area School,"{'description': 'Cnr Flinders St & Ayawarra Cr', 'state': 'NT', 'postCode': 'Alyangula', 'displayAddress': 'Cnr Flinders St & Ayawarra Cr, Alyangula, NT'}","[{'firstName': 'Theo', 'lastName': 'DeBeer', 'position': 'Principal', 'email': 'theo.debeer@ntschools.net', 'phone': '(08) 8987 6366'}, {'firstName': 'Kaitlyn', 'lastName': 'Ther', 'position': 'Business Manager', 'email': 'kaitlyn.ther1@nt.gov.au', 'phone': '(08) 894 49404'}]",alyangula.admin@ntschools.net,(08) 8987 6366
11,Alyangula Area School,"{'description': 'Cnr Flinders St & Ayawarra Cr', 'state': 'NT', 'postCode': 'Alyangula', 'displayAddress': 'Cnr Flinders St & Ayawarra Cr, Alyangula, NT'}","[{'firstName': 'Theo', 'lastName': 'DeBeer', 'position': 'Principal', 'email': 'theo.debeer@ntschools.net', 'phone': '(08) 8987 6366'}, {'firstName': 'Kaitlyn', 'lastName': 'Ther', 'position': 'Business Manager', 'email': 'kaitlyn.ther1@nt.gov.au', 'phone': '(08) 894 49404'}]",alyangula.admin@ntschools.net,(08) 8987 6366
12,Alyarrmandumanja Umbakumba School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Umbakumba', 'displayAddress': 'N/A, Umbakumba, NT'}","[{'firstName': 'Donna', 'lastName': 'Cartwright', 'position': 'Administration Manager', 'email': 'donna.cartwright2@nt.gov.au', 'phone': '(08) 899 93548'}, {'firstName': 'Michael', 'lastName': 'Jones', 'position': 'Principal', 'email': 'michael.jones@ntschools.net', 'phone': '(08) 8987 6793'}]",admin.umbakumba@ntschools.net,(08) 8987 6793
13,Amanbidji School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Amanbidgi (Kildirk)', 'displayAddress': 'N/A, Amanbidgi (Kildirk), NT'}","[{'firstName': 'Kelly', 'lastName': 'Angel', 'position': 'Administration Manager', 'email': 'kelly.angel1@ntschools.net', 'phone': '(08) 8972 5347'}, {'firstName': 'Carolyn', 'lastName': 'Tucker', 'position': 'Principal', 'email': 'carolyn.tucker@ntschools.net', 'phone': '(08) 9168 7380'}]",Carolyn.tucker@ntschools.net,(08) 9168 7380
14,Amoonguna School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Amoonguna', 'displayAddress': 'N/A, Amoonguna, NT'}","[{'firstName': 'Cherie', 'lastName': 'Gibbens', 'position': 'Principal', 'email': 'cherie.gibbens@ntschools.net', 'phone': '(08) 8952 3402'}, {'firstName': 'Nicole', 'lastName': 'Wallace', 'position': 'Administration Manager', 'email': 'nicole.wallace@nt.gov.au', 'phone': '(08) 895 11637'}]",cherie.gibbens@ntschools.net,(08) 8952 3402
15,Ampilatwatja School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Ampilatwatja (Ammaroo)', 'displayAddress': 'N/A, Ampilatwatja (Ammaroo), NT'}","[{'firstName': 'Gesheila', 'lastName': 'Cortez', 'position': 'Administration Manager', 'email': 'gesheila.cortez@nt.gov.au', 'phone': '(08) 895 11637'}, {'firstName': 'Geoff', 'lastName': 'Gillman', 'position': 'Principal', 'email': 'geoff.gillman@ntschools.net', 'phone': '(08) 8956 9265'}]",geoff.gillman@ntschools.net,(08) 8956 9265
16,Angurugu School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Angurugu', 'displayAddress': 'N/A, Angurugu, NT'}","[{'firstName': 'Bryan', 'lastName': 'Hughes', 'position': 'Principal', 'email': 'bryan.hughes@ntschools.net', 'phone': '(08) 8987 6355'}]",admin.angurcec@ntschools.net,(08) 8987 6355
17,Angurugu School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Angurugu', 'displayAddress': 'N/A, Angurugu, NT'}","[{'firstName': 'Bryan', 'lastName': 'Hughes', 'position': 'Principal', 'email': 'bryan.hughes@ntschools.net', 'phone': '(08) 8987 6355'}]",admin.angurcec@ntschools.net,(08) 8987 6355
18,Anula Primary School,"{'description': '73 Yanyula Dr', 'state': 'NT', 'postCode': 'Anula, 0812', 'displayAddress': '73 Yanyula Dr, Anula, 0812, NT'}","[{'firstName': 'Melinda', 'lastName': 'Kealy', 'position': 'Principal', 'email': 'melinda.kealy@ntschools.net', 'phone': '(08) 899 77500'}, {'firstName': 'Kylie', 'lastName': 'Robinson', 'position': 'Administration Manager', 'email': 'kylie.robinson1@ntschools.net', 'phone': '(08) 899 77500'}]",anula.admin@ntschools.net,(08) 899 77500
19,Anula Primary School,"{'description': '73 Yanyula Dr', 'state': 'NT', 'postCode': 'Anula, 0812', 'displayAddress': '73 Yanyula Dr, Anula, 0812, NT'}","[{'firstName': 'Melinda', 'lastName': 'Kealy', 'position': 'Principal', 'email': 'melinda.kealy@ntschools.net', 'phone': '(08) 899 77500'}, {'firstName': 'Kylie', 'lastName': 'Robinson', 'position': 'Administration Manager', 'email': 'kylie.robinson1@ntschools.net', 'phone': '(08) 899 77500'}]",anula.admin@ntschools.net,(08) 899 77500
20,Araluen Christian School,"{'description': '10 Blain St', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': '10 Blain St, Alice Springs, NT'}","[{'firstName': 'Rosie', 'lastName': 'Lindsey', 'position': 'Principal', 'email': 'rosie.lindsey@ntschools.net', 'phone': '89550121'}]",admin.acc@ntschools.net,(08) 8955 3300
21,Areyonga School,"{'description': 'wsw of Hermannsburg, 224km from Alice Springs', 'state': 'NT', 'postCode': 'Areyonga', 'displayAddress': 'wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT'}","[{'firstName': 'Rowan', 'lastName': 'Churches', 'position': 'Administration Manager', 'email': 'rowan.churches@nt.gov.au', 'phone': '(08) 895 11656'}, {'firstName': 'Jonathon', 'lastName': 'Fernando', 'position': 'Principal', 'email': 'jonathon.fernando@ntschools.net', 'phone': '(08) 8956 7303'}]",areyonga.school@ntschools.net,(08) 8956 7303
